--------------------------------------------------------------------------
The library attempted to open the following supporting CUDA libraries,
but each of them failed.  CUDA-aware support is disabled.
libcuda.so.1: cannot open shared object file: No such file or directory
libcuda.dylib: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.so.1: cannot open shared object file: No such file or directory
/usr/lib64/libcuda.dylib: cannot open shared object file: No such file or directory
If you are not interested in CUDA-aware support, then run with
--mca mpi_cuda_support 0 to suppress this message.  If you are interested
in CUDA-aware support, then try setting LD_LIBRARY_PATH to the location
of libcuda.so.1 to get passed this issue.
--------------------------------------------------------------------------
x= -3255000.0 , y= -77523.40585146287 , lat= -60.66632349873628 , lon= -91.36433929703149
x= -3254500.0 , y= -78023.55588897225 , lat= -60.670536548131615 , lon= -91.37334898891982
x= -3254000.0 , y= -78523.70592648162 , lat= -60.67474898047827 , lon= -91.38236138165132
x= -3253500.0 , y= -79023.855963991 , lat= -60.678960795415875 , lon= -91.39137647599445
x= -3253000.0 , y= -79524.00600150037 , lat= -60.683171992583844 , lon= -91.40039427271759
x= -3252500.0 , y= -80024.15603900976 , lat= -60.68738257162155 , lon= -91.40941477258907
x= -3252000.0 , y= -80524.30607651913 , lat= -60.69159253216817 , lon= -91.41843797637715
x= -3251500.0 , y= -81024.45611402851 , lat= -60.695801873862706 , lon= -91.42746388484994
x= -3251000.0 , y= -81524.60615153788 , lat= -60.70001059634406 , lon= -91.43649249877558
x= -3250500.0 , y= -82024.75618904726 , lat= -60.70421869925098 , lon= -91.44552381892204
x= -3250000.0 , y= -82524.90622655663 , lat= -60.70842618222204 , lon= -91.45455784605727
x= -3249500.0 , y= -83025.05626406602 , lat= -60.7126330448957 , lon= -91.4635945809491
x= -3249000.0 , y= -83525.2063015754 , lat= -60.71683928691028 , lon= -91.47263402436535
x= -3248500.0 , y= -84025.35633908477 , lat= -60.7210449079039 , lon= -91.48167617707368
x= -3248000.0 , y= -84525.50637659414 , lat= -60.72524990751464 , lon= -91.49072103984172
x= -3247500.0 , y= -85025.65641410352 , lat= -60.729454285380314 , lon= -91.49976861343701
x= -3247000.0 , y= -85525.80645161291 , lat= -60.73365804113865 , lon= -91.50881889862701
x= -3246500.0 , y= -86025.95648912228 , lat= -60.73786117442727 , lon= -91.51787189617907
x= -3246000.0 , y= -86526.10652663166 , lat= -60.74206368488359 , lon= -91.52692760686053
x= -3245500.0 , y= -87026.25656414103 , lat= -60.74626557214487 , lon= -91.53598603143855
x= -3245000.0 , y= -87526.40660165041 , lat= -60.75046683584831 , lon= -91.54504717068029
x= -3244500.0 , y= -88026.55663915978 , lat= -60.75466747563085 , lon= -91.5541110253528
x= -3244000.0 , y= -88526.70667666917 , lat= -60.75886749112938 , lon= -91.56317759622303
x= -3243500.0 , y= -89026.85671417855 , lat= -60.763066881980606 , lon= -91.57224688405785
x= -3243000.0 , y= -89527.00675168792 , lat= -60.76726564782109 , lon= -91.58131888962404
